difficulty,rank,family,items,packages,enchantment,present,prevalence,medianPresent,medianAll,min,max
HARD,BOSS,CROSSBOWS,20,11,LOUD_STRIKES,1,0.05,2,0.0,2,2
HARD,BOSS,CROSSBOWS,20,11,MENDING,2,0.1,1.0,0.0,1,1
HARD,BOSS,CROSSBOWS,20,11,MULTISHOT,7,0.35,1,0.0,1,7
HARD,BOSS,CROSSBOWS,20,11,PIERCING,20,1.0,4.0,4.0,3,7
HARD,BOSS,CROSSBOWS,20,11,PROTECTION,2,0.1,2.5,0.0,2,3
HARD,BOSS,CROSSBOWS,20,11,QUICK_CHARGE,18,0.9,3.0,3.0,1,3
HARD,BOSS,CROSSBOWS,20,11,SHARPNESS,2,0.1,3.0,0.0,3,3
HARD,BOSS,CROSSBOWS,20,11,SMITE,2,0.1,5.0,0.0,5,5
HARD,BOSS,CROSSBOWS,20,11,UNBREAKING,17,0.85,4,4.0,2,5
HARD,BOSS,HELMETS,31,14,AQUA_AFFINITY,1,0.0323,1,0,1,1
HARD,BOSS,HELMETS,31,14,BANE_OF_ARTHROPODS,4,0.129,6.0,0,3,8
HARD,BOSS,HELMETS,31,14,BLAST_PROTECTION,13,0.4194,6,0,1,8
HARD,BOSS,HELMETS,31,14,CRITICAL_STRIKES,1,0.0323,2,0,2,2
HARD,BOSS,HELMETS,31,14,FEATHER_FALLING,4,0.129,3.5,0,3,5
HARD,BOSS,HELMETS,31,14,FIRE_PROTECTION,8,0.2581,4.5,0,1,8
HARD,BOSS,HELMETS,31,14,HUNTER,1,0.0323,2,0,2,2
HARD,BOSS,HELMETS,31,14,LOUD_STRIKES,13,0.4194,2,0,1,3
HARD,BOSS,HELMETS,31,14,MENDING,2,0.0645,1.0,0,1,1
HARD,BOSS,HELMETS,31,14,PROJECTILE_PROTECTION,19,0.6129,5,3,1,8
HARD,BOSS,HELMETS,31,14,PROTECTION,30,0.9677,4.5,4,2,7
HARD,BOSS,HELMETS,31,14,RESPIRATION,3,0.0968,2,0,1,2
HARD,BOSS,HELMETS,31,14,SHARPNESS,14,0.4516,5.0,0,3,7
HARD,BOSS,HELMETS,31,14,SMITE,7,0.2258,5,0,3,8
HARD,BOSS,HELMETS,31,14,THORNS,5,0.1613,3,0,2,3
HARD,BOSS,HELMETS,31,14,UNBREAKING,19,0.6129,4,2,2,10
HARD,BOSS,HOES,13,6,EFFICIENCY,4,0.3077,4.0,0,2,4
HARD,BOSS,HOES,13,6,FIRE_ASPECT,1,0.0769,2,0,2,2
HARD,BOSS,HOES,13,6,MENDING,4,0.3077,1.0,0,1,1
HARD,BOSS,HOES,13,6,SHARPNESS,9,0.6923,6,6,5,9
HARD,BOSS,HOES,13,6,SMITE,1,0.0769,6,0,6,6
HARD,BOSS,HOES,13,6,SWEEPING_EDGE,9,0.6923,3,3,2,5
HARD,BOSS,HOES,13,6,UNBREAKING,13,1.0,5,5,3,7
HARD,BOSS,LEGGINGS,30,14,BANE_OF_ARTHROPODS,6,0.2,5.0,0.0,3,6
HARD,BOSS,LEGGINGS,30,14,BLAST_PROTECTION,11,0.3667,4,0.0,1,6
HARD,BOSS,LEGGINGS,30,14,CRITICAL_STRIKES,1,0.0333,2,0.0,2,2
HARD,BOSS,LEGGINGS,30,14,DEPTH_STRIDER,2,0.0667,2.0,0.0,2,2
HARD,BOSS,LEGGINGS,30,14,EARTHQUAKE,1,0.0333,1,0.0,1,1
HARD,BOSS,LEGGINGS,30,14,FEATHER_FALLING,6,0.2,6.5,0.0,3,8
HARD,BOSS,LEGGINGS,30,14,FIRE_PROTECTION,12,0.4,5.0,0.0,1,8
HARD,BOSS,LEGGINGS,30,14,HUNTER,1,0.0333,2,0.0,2,2
HARD,BOSS,LEGGINGS,30,14,LOUD_STRIKES,12,0.4,2.0,0.0,1,2
HARD,BOSS,LEGGINGS,30,14,MENDING,2,0.0667,1.0,0.0,1,1
HARD,BOSS,LEGGINGS,30,14,PROJECTILE_PROTECTION,14,0.4667,4.0,0.0,1,8
HARD,BOSS,LEGGINGS,30,14,PROTECTION,29,0.9667,4,4.0,2,7
HARD,BOSS,LEGGINGS,30,14,SHARPNESS,14,0.4667,7.0,0.0,3,8
HARD,BOSS,LEGGINGS,30,14,SMITE,6,0.2,5.5,0.0,3,6
HARD,BOSS,LEGGINGS,30,14,THORNS,6,0.2,2.5,0.0,1,3
HARD,BOSS,LEGGINGS,30,14,UNBREAKING,18,0.6,4.0,2.0,1,5
HARD,BOSS,MACES,21,12,FIRE_ASPECT,4,0.1905,2.0,0,2,2
HARD,BOSS,MACES,21,12,KNOCKBACK,21,1.0,3,3,2,3
HARD,BOSS,MACES,21,12,MENDING,3,0.1429,1,0,1,1
HARD,BOSS,MACES,21,12,PROTECTION,2,0.0952,2.5,0,2,3
HARD,BOSS,MACES,21,12,SHARPNESS,21,1.0,6,6,4,9
HARD,BOSS,MACES,21,12,SMITE,2,0.0952,5.0,0,5,5
HARD,BOSS,MACES,21,12,THORNS,1,0.0476,3,0,3,3
HARD,BOSS,MACES,21,12,UNBREAKING,19,0.9048,4,4,2,6
HARD,BOSS,SHIELDS,10,6,BLAST_PROTECTION,2,0.2,5.5,0.0,5,6
HARD,BOSS,SHIELDS,10,6,FIRE_PROTECTION,2,0.2,5.5,0.0,5,6
HARD,BOSS,SHIELDS,10,6,FORTUNE,1,0.1,3,0.0,3,3
HARD,BOSS,SHIELDS,10,6,LOUD_STRIKES,8,0.8,2.0,2.0,1,2
HARD,BOSS,SHIELDS,10,6,LUCK_OF_THE_SEA,1,0.1,5,0.0,5,5
HARD,BOSS,SHIELDS,10,6,MENDING,3,0.3,3,0.0,1,5
HARD,BOSS,SHIELDS,10,6,PROJECTILE_PROTECTION,5,0.5,6,2.5,5,7
HARD,BOSS,SHIELDS,10,6,PROTECTION,7,0.7,7,4.5,3,8
HARD,BOSS,SHIELDS,10,6,SHARPNESS,3,0.3,4,0.0,3,7
HARD,BOSS,SHIELDS,10,6,SMITE,1,0.1,5,0.0,5,5
HARD,BOSS,SHIELDS,10,6,THORNS,3,0.3,6,0.0,2,6
HARD,BOSS,SHIELDS,10,6,UNBREAKING,9,0.9,5,5.0,4,8
HARD,BOSS,SHIELDS,10,6,VANISHING_CURSE,1,0.1,4,0.0,4,4
HARD,BOSS,SPEARS,22,13,FIRE_ASPECT,1,0.0455,2,0.0,2,2
HARD,BOSS,SPEARS,22,13,IMPALING,22,1.0,5.0,5.0,4,7
HARD,BOSS,SPEARS,22,13,LOYALTY,2,0.0909,2.0,0.0,2,2
HARD,BOSS,SPEARS,22,13,MENDING,3,0.1364,1,0.0,1,1
HARD,BOSS,SPEARS,22,13,PIERCING,8,0.3636,3.0,0.0,3,4
HARD,BOSS,SPEARS,22,13,PROTECTION,2,0.0909,2.5,0.0,2,3
HARD,BOSS,SPEARS,22,13,SHARPNESS,19,0.8636,6,5.0,3,8
HARD,BOSS,SPEARS,22,13,SMITE,4,0.1818,4.0,0.0,3,5
HARD,BOSS,SPEARS,22,13,UNBREAKING,18,0.8182,4.0,4.0,2,6
HARD,BOSS,SWORDS,20,10,BANE_OF_ARTHROPODS,10,0.5,5.0,2.0,4,6
HARD,BOSS,SWORDS,20,10,CRITICAL_STRIKES,2,0.1,3.5,0.0,3,4
HARD,BOSS,SWORDS,20,10,FIRE_ASPECT,6,0.3,2.0,0.0,1,4
HARD,BOSS,SWORDS,20,10,HUNTER,1,0.05,2,0.0,2,2
HARD,BOSS,SWORDS,20,10,KNOCKBACK,7,0.35,2,0.0,1,3
HARD,BOSS,SWORDS,20,10,LOOTING,3,0.15,5,0.0,2,6
HARD,BOSS,SWORDS,20,10,LOUD_STRIKES,1,0.05,2,0.0,2,2
HARD,BOSS,SWORDS,20,10,MENDING,1,0.05,1,0.0,1,1
HARD,BOSS,SWORDS,20,10,PROTECTION,2,0.1,3.0,0.0,3,3
HARD,BOSS,SWORDS,20,10,SHARPNESS,20,1.0,6.5,6.5,2,8
HARD,BOSS,SWORDS,20,10,SMITE,17,0.85,5,5.0,1,9
HARD,BOSS,SWORDS,20,10,SWEEPING_EDGE,6,0.3,2.0,0.0,1,4
HARD,BOSS,SWORDS,20,10,UNBREAKING,14,0.7,4.0,3.0,2,5
HARD,BOSS,TRIDENTS,4,3,BANE_OF_ARTHROPODS,1,0.25,1,0.0,1,1
HARD,BOSS,TRIDENTS,4,3,CHANNELING,1,0.25,1,0.0,1,1
HARD,BOSS,TRIDENTS,4,3,IMPALING,2,0.5,5.5,2.5,5,6
HARD,BOSS,TRIDENTS,4,3,LOUD_STRIKES,1,0.25,2,0.0,2,2
HARD,BOSS,TRIDENTS,4,3,LOYALTY,4,1.0,3.0,3.0,1,8
HARD,BOSS,TRIDENTS,4,3,MENDING,2,0.5,1.5,0.5,1,2
HARD,BOSS,TRIDENTS,4,3,PIERCING,1,0.25,1,0.0,1,1
HARD,BOSS,TRIDENTS,4,3,PROJECTILE_PROTECTION,1,0.25,4,0.0,4,4
HARD,BOSS,TRIDENTS,4,3,PROTECTION,1,0.25,5,0.0,5,5
HARD,BOSS,TRIDENTS,4,3,RIPTIDE,1,0.25,3,0.0,3,3
HARD,BOSS,TRIDENTS,4,3,SHARPNESS,2,0.5,5.0,2.5,5,5
HARD,BOSS,TRIDENTS,4,3,SMITE,2,0.5,2.5,0.5,1,4
HARD,BOSS,TRIDENTS,4,3,UNBREAKING,3,0.75,2,1.5,1,3
HARD,MINIBOSS,AXES,8,3,FIRE_ASPECT,1,0.125,2,0.0,2,2
HARD,MINIBOSS,AXES,8,3,FIRE_PROTECTION,1,0.125,3,0.0,3,3
HARD,MINIBOSS,AXES,8,3,KNOCKBACK,1,0.125,3,0.0,3,3
HARD,MINIBOSS,AXES,8,3,LOUD_STRIKES,2,0.25,2.0,0.0,2,2
HARD,MINIBOSS,AXES,8,3,PROJECTILE_PROTECTION,1,0.125,3,0.0,3,3
HARD,MINIBOSS,AXES,8,3,PROTECTION,3,0.375,4,0.0,3,6
HARD,MINIBOSS,AXES,8,3,SHARPNESS,6,0.75,3.5,3.0,2,5
HARD,MINIBOSS,AXES,8,3,SMITE,1,0.125,3,0.0,3,3
HARD,MINIBOSS,AXES,8,3,UNBREAKING,6,0.75,4.0,2.5,2,5
HARD,MINIBOSS,BOOTS,20,7,BANE_OF_ARTHROPODS,2,0.1,3.5,0.0,3,4
HARD,MINIBOSS,BOOTS,20,7,BLAST_PROTECTION,4,0.2,4.0,0.0,2,5
HARD,MINIBOSS,BOOTS,20,7,CRITICAL_STRIKES,1,0.05,2,0.0,2,2
HARD,MINIBOSS,BOOTS,20,7,DEPTH_STRIDER,1,0.05,3,0.0,3,3
HARD,MINIBOSS,BOOTS,20,7,FEATHER_FALLING,2,0.1,2.5,0.0,1,4
HARD,MINIBOSS,BOOTS,20,7,FIRE_PROTECTION,3,0.15,4,0.0,3,5
HARD,MINIBOSS,BOOTS,20,7,FROST_WALKER,3,0.15,2,0.0,1,2
HARD,MINIBOSS,BOOTS,20,7,LOUD_STRIKES,5,0.25,2,0.0,1,2
HARD,MINIBOSS,BOOTS,20,7,MENDING,1,0.05,1,0.0,1,1
HARD,MINIBOSS,BOOTS,20,7,PROJECTILE_PROTECTION,8,0.4,3.0,0.0,2,4
HARD,MINIBOSS,BOOTS,20,7,PROTECTION,16,0.8,3.0,3.0,1,7
HARD,MINIBOSS,BOOTS,20,7,SHARPNESS,9,0.45,4,0.0,2,6
HARD,MINIBOSS,BOOTS,20,7,SMITE,6,0.3,4.0,0.0,2,6
HARD,MINIBOSS,BOOTS,20,7,THORNS,2,0.1,2.5,0.0,2,3
HARD,MINIBOSS,BOOTS,20,7,UNBREAKING,11,0.55,3,1.5,1,5
HARD,MINIBOSS,BOWS,10,3,FLAME,5,0.5,2,0.5,1,7
HARD,MINIBOSS,BOWS,10,3,INFINITY,3,0.3,3,0.0,1,6
HARD,MINIBOSS,BOWS,10,3,LOUD_STRIKES,2,0.2,2.0,0.0,2,2
HARD,MINIBOSS,BOWS,10,3,POWER,7,0.7,3,2.0,2,5
HARD,MINIBOSS,BOWS,10,3,PROTECTION,1,0.1,3,0.0,3,3
HARD,MINIBOSS,BOWS,10,3,PUNCH,2,0.2,3.0,0.0,2,4
HARD,MINIBOSS,BOWS,10,3,SHARPNESS,1,0.1,3,0.0,3,3
HARD,MINIBOSS,BOWS,10,3,SMITE,1,0.1,5,0.0,5,5
HARD,MINIBOSS,BOWS,10,3,UNBREAKING,6,0.6,3.5,2.0,2,5
HARD,MINIBOSS,CHESTPLATES,21,6,BANE_OF_ARTHROPODS,1,0.0476,3,0,3,3
HARD,MINIBOSS,CHESTPLATES,21,6,BLAST_PROTECTION,6,0.2857,4.0,0,3,5
HARD,MINIBOSS,CHESTPLATES,21,6,FIRE_PROTECTION,6,0.2857,2.0,0,1,3
HARD,MINIBOSS,CHESTPLATES,21,6,LOUD_STRIKES,7,0.3333,2,0,1,2
HARD,MINIBOSS,CHESTPLATES,21,6,MENDING,1,0.0476,1,0,1,1
HARD,MINIBOSS,CHESTPLATES,21,6,PROJECTILE_PROTECTION,11,0.5238,3,2,2,6
HARD,MINIBOSS,CHESTPLATES,21,6,PROTECTION,19,0.9048,3,3,2,6
HARD,MINIBOSS,CHESTPLATES,21,6,SHARPNESS,8,0.381,3.5,0,1,6
HARD,MINIBOSS,CHESTPLATES,21,6,SMITE,3,0.1429,4,0,3,4
HARD,MINIBOSS,CHESTPLATES,21,6,THORNS,4,0.1905,2.0,0,1,7
HARD,MINIBOSS,CHESTPLATES,21,6,UNBREAKING,11,0.5238,3,1,1,5
HARD,MINIBOSS,CROSSBOWS,6,2,FLAME,1,0.1667,2,0.0,2,2
HARD,MINIBOSS,CROSSBOWS,6,2,INFINITY,1,0.1667,1,0.0,1,1
HARD,MINIBOSS,CROSSBOWS,6,2,LOUD_STRIKES,1,0.1667,2,0.0,2,2
HARD,MINIBOSS,CROSSBOWS,6,2,MULTISHOT,4,0.6667,2.0,1.0,1,4
HARD,MINIBOSS,CROSSBOWS,6,2,PIERCING,5,0.8333,3,3.0,2,4
HARD,MINIBOSS,CROSSBOWS,6,2,POWER,2,0.3333,3.0,0.0,3,3
HARD,MINIBOSS,CROSSBOWS,6,2,PROTECTION,1,0.1667,6,0.0,6,6
HARD,MINIBOSS,CROSSBOWS,6,2,QUICK_CHARGE,4,0.6667,3.0,2.5,2,3
HARD,MINIBOSS,CROSSBOWS,6,2,UNBREAKING,5,0.8333,4,3.0,2,5
HARD,MINIBOSS,HELMETS,20,6,AQUA_AFFINITY,1,0.05,1,0.0,1,1
HARD,MINIBOSS,HELMETS,20,6,BANE_OF_ARTHROPODS,3,0.15,3,0.0,3,4
HARD,MINIBOSS,HELMETS,20,6,BLAST_PROTECTION,3,0.15,5,0.0,2,6
HARD,MINIBOSS,HELMETS,20,6,FIRE_PROTECTION,4,0.2,3.5,0.0,3,4
HARD,MINIBOSS,HELMETS,20,6,LOUD_STRIKES,4,0.2,2.0,0.0,2,2
HARD,MINIBOSS,HELMETS,20,6,MENDING,1,0.05,1,0.0,1,1
HARD,MINIBOSS,HELMETS,20,6,PROJECTILE_PROTECTION,8,0.4,3.0,0.0,2,5
HARD,MINIBOSS,HELMETS,20,6,PROTECTION,17,0.85,3,3.0,1,5
HARD,MINIBOSS,HELMETS,20,6,RESPIRATION,4,0.2,1.5,0.0,1,2
HARD,MINIBOSS,HELMETS,20,6,SHARPNESS,9,0.45,4,0.0,2,7
HARD,MINIBOSS,HELMETS,20,6,SMITE,4,0.2,4.0,0.0,3,5
HARD,MINIBOSS,HELMETS,20,6,THORNS,1,0.05,2,0.0,2,2
HARD,MINIBOSS,HELMETS,20,6,UNBREAKING,11,0.55,3,1.5,1,5
HARD,MINIBOSS,HOES,1,1,SHARPNESS,1,1.0,7,7,7,7
HARD,MINIBOSS,HOES,1,1,SWEEPING_EDGE,1,1.0,4,4,4,4
HARD,MINIBOSS,HOES,1,1,UNBREAKING,1,1.0,5,5,5,5
HARD,MINIBOSS,LEGGINGS,20,6,BANE_OF_ARTHROPODS,4,0.2,3.5,0.0,3,4
HARD,MINIBOSS,LEGGINGS,20,6,BLAST_PROTECTION,3,0.15,3,0.0,3,5
HARD,MINIBOSS,LEGGINGS,20,6,DEPTH_STRIDER,4,0.2,2.0,0.0,2,2
HARD,MINIBOSS,LEGGINGS,20,6,FEATHER_FALLING,1,0.05,6,0.0,6,6
HARD,MINIBOSS,LEGGINGS,20,6,FIRE_PROTECTION,5,0.25,3,0.0,3,6
HARD,MINIBOSS,LEGGINGS,20,6,LOUD_STRIKES,4,0.2,2.0,0.0,1,2
HARD,MINIBOSS,LEGGINGS,20,6,MENDING,1,0.05,1,0.0,1,1
HARD,MINIBOSS,LEGGINGS,20,6,PROJECTILE_PROTECTION,6,0.3,2.5,0.0,2,5
HARD,MINIBOSS,LEGGINGS,20,6,PROTECTION,17,0.85,3,3.0,2,5
HARD,MINIBOSS,LEGGINGS,20,6,SHARPNESS,9,0.45,4,0.0,1,6
HARD,MINIBOSS,LEGGINGS,20,6,SMITE,4,0.2,4.0,0.0,4,7
HARD,MINIBOSS,LEGGINGS,20,6,THORNS,2,0.1,1.5,0.0,1,2
HARD,MINIBOSS,LEGGINGS,20,6,UNBREAKING,11,0.55,3,1.0,1,5
HARD,MINIBOSS,MACES,2,2,BREACH,1,0.5,5,2.5,5,5
HARD,MINIBOSS,MACES,2,2,DENSITY,1,0.5,4,2.0,4,4
HARD,MINIBOSS,MACES,2,2,KNOCKBACK,2,1.0,2.5,2.5,2,3
HARD,MINIBOSS,MACES,2,2,SHARPNESS,1,0.5,7,3.5,7,7
HARD,MINIBOSS,MACES,2,2,UNBREAKING,2,1.0,4.0,4.0,3,5
HARD,MINIBOSS,MACES,2,2,WIND_BURST,1,0.5,1,0.5,1,1
HARD,MINIBOSS,SHIELDS,6,2,BLAST_PROTECTION,2,0.3333,2.5,0.0,2,3
HARD,MINIBOSS,SHIELDS,6,2,LOUD_STRIKES,4,0.6667,1.5,1.0,1,2
HARD,MINIBOSS,SHIELDS,6,2,MENDING,1,0.1667,1,0.0,1,1
HARD,MINIBOSS,SHIELDS,6,2,PROJECTILE_PROTECTION,3,0.5,4,1.5,3,5
HARD,MINIBOSS,SHIELDS,6,2,PROTECTION,5,0.8333,4,4.0,3,6
HARD,MINIBOSS,SHIELDS,6,2,SHARPNESS,1,0.1667,3,0.0,3,3
HARD,MINIBOSS,SHIELDS,6,2,UNBREAKING,3,0.5,2,1.0,2,4
HARD,MINIBOSS,SPEARS,1,1,IMPALING,1,1.0,5,5,5,5
HARD,MINIBOSS,SPEARS,1,1,SHARPNESS,1,1.0,6,6,6,6
HARD,MINIBOSS,SPEARS,1,1,UNBREAKING,1,1.0,5,5,5,5
HARD,MINIBOSS,SWORDS,9,4,BANE_OF_ARTHROPODS,1,0.1111,3,0,3,3
HARD,MINIBOSS,SWORDS,9,4,FIRE_ASPECT,4,0.4444,1.0,0,1,2
HARD,MINIBOSS,SWORDS,9,4,LOUD_STRIKES,2,0.2222,2.0,0,2,2
HARD,MINIBOSS,SWORDS,9,4,MENDING,1,0.1111,1,0,1,1
HARD,MINIBOSS,SWORDS,9,4,PROJECTILE_PROTECTION,1,0.1111,4,0,4,4
HARD,MINIBOSS,SWORDS,9,4,PROTECTION,1,0.1111,7,0,7,7
HARD,MINIBOSS,SWORDS,9,4,SHARPNESS,9,1.0,3,3,2,4
HARD,MINIBOSS,SWORDS,9,4,SMITE,4,0.4444,3.5,0,1,5
HARD,MINIBOSS,SWORDS,9,4,SWEEPING_EDGE,2,0.2222,1.0,0,1,1
HARD,MINIBOSS,SWORDS,9,4,UNBREAKING,4,0.4444,3.0,0,1,5
HARD,MINIBOSS,TRIDENTS,5,3,CHANNELING,2,0.4,2.5,0,1,4
HARD,MINIBOSS,TRIDENTS,5,3,FIRE_PROTECTION,1,0.2,3,0,3,3
HARD,MINIBOSS,TRIDENTS,5,3,IMPALING,3,0.6,5,4,4,6
HARD,MINIBOSS,TRIDENTS,5,3,LOUD_STRIKES,1,0.2,2,0,2,2
HARD,MINIBOSS,TRIDENTS,5,3,LOYALTY,5,1.0,3,3,1,5
HARD,MINIBOSS,TRIDENTS,5,3,RIPTIDE,2,0.4,3.0,0,3,3
HARD,MINIBOSS,TRIDENTS,5,3,SHARPNESS,1,0.2,3,0,3,3
HARD,MINIBOSS,TRIDENTS,5,3,UNBREAKING,3,0.6,3,2,2,5
HARD,TRASH,AXES,4,2,BANE_OF_ARTHROPODS,2,0.5,3.5,1.0,2,5
HARD,TRASH,AXES,4,2,PROTECTION,1,0.25,1,0.0,1,1
HARD,TRASH,AXES,4,2,SHARPNESS,4,1.0,4.0,4.0,3,4
HARD,TRASH,AXES,4,2,SMITE,1,0.25,3,0.0,3,3
HARD,TRASH,AXES,4,2,UNBREAKING,1,0.25,3,0.0,3,3
HARD,TRASH,BOOTS,25,6,BANE_OF_ARTHROPODS,1,0.04,3,0,3,3
HARD,TRASH,BOOTS,25,6,BLAST_PROTECTION,1,0.04,2,0,2,2
HARD,TRASH,BOOTS,25,6,FEATHER_FALLING,2,0.08,2.5,0,2,3
HARD,TRASH,BOOTS,25,6,FIRE_PROTECTION,1,0.04,1,0,1,1
HARD,TRASH,BOOTS,25,6,FROST_WALKER,3,0.12,2,0,1,2
HARD,TRASH,BOOTS,25,6,LOUD_STRIKES,5,0.2,2,0,2,2
HARD,TRASH,BOOTS,25,6,PROJECTILE_PROTECTION,6,0.24,2.0,0,2,3
HARD,TRASH,BOOTS,25,6,PROTECTION,20,0.8,2.0,2,1,4
HARD,TRASH,BOOTS,25,6,SHARPNESS,11,0.44,3,0,2,5
HARD,TRASH,BOOTS,25,6,SMITE,3,0.12,3,0,2,3
HARD,TRASH,BOOTS,25,6,THORNS,1,0.04,2,0,2,2
HARD,TRASH,BOOTS,25,6,UNBREAKING,7,0.28,2,0,1,5
HARD,TRASH,BOOTS,25,6,VANISHING_CURSE,1,0.04,1,0,1,1
HARD,TRASH,BOWS,10,4,FLAME,3,0.3,1,0.0,1,2
HARD,TRASH,BOWS,10,4,INFINITY,2,0.2,1.0,0.0,1,1
HARD,TRASH,BOWS,10,4,LOUD_STRIKES,1,0.1,2,0.0,2,2
HARD,TRASH,BOWS,10,4,POWER,6,0.6,2.5,2.0,2,3
HARD,TRASH,BOWS,10,4,PROTECTION,1,0.1,1,0.0,1,1
HARD,TRASH,BOWS,10,4,SHARPNESS,3,0.3,3,0.0,2,4
HARD,TRASH,BOWS,10,4,SMITE,2,0.2,2.5,0.0,2,3
HARD,TRASH,BOWS,10,4,UNBREAKING,5,0.5,2,1.0,2,5
HARD,TRASH,CHESTPLATES,24,6,BANE_OF_ARTHROPODS,1,0.0417,2,0.0,2,2
HARD,TRASH,CHESTPLATES,24,6,BLAST_PROTECTION,3,0.125,2,0.0,1,3
HARD,TRASH,CHESTPLATES,24,6,FIRE_PROTECTION,4,0.1667,1.5,0.0,1,3
HARD,TRASH,CHESTPLATES,24,6,LOUD_STRIKES,5,0.2083,2,0.0,2,2
HARD,TRASH,CHESTPLATES,24,6,PROJECTILE_PROTECTION,5,0.2083,2,0.0,2,3
